Todos os resultados da Mega Sena | Rede Loteria,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2722,09/05/2024,19.0,23.0,25.0,36.0,44.0,46.0,0,,10956286
2721,07/05/2024,9.0,10.0,11.0,25.0,46.0,48.0,0,,10165233
2720,04/05/2024,8.0,15.0,16.0,23.0,42.0,43.0,0,,13533681
2719,30/04/2024,16.0,25.0,27.0,30.0,42.0,48.0,0,,6157662
2718,27/04/2024,6.0,30.0,34.0,41.0,46.0,59.0,0,,6430415
2717,25/04/2024,6.0,22.0,34.0,36.0,44.0,50.0,1,5581371.93,5637747
2716,23/04/2024,5.0,20.0,27.0,28.0,48.0,49.0,0,,4872569
2715,20/04/2024,7.0,19.0,25.0,46.0,50.0,53.0,1,102128925.42,20406599
2714,18/04/2024,16.0,17.0,42.0,45.0,52.0,57.0,0,,13407552
2713,16/04/2024,9.0,23.0,25.0,26.0,35.0,58.0,0,,12676331
2712,13/04/2024,7.0,15.0,19.0,35.0,40.0,42.0,0,,14386888
2711,11/04/2024,14.0,36.0,38.0,46.0,55.0,60.0,0,,11938192
2710,09/04/2024,5.0,6.0,25.0,42.0,44.0,50.0,0,,11042006
2709,06/04/2024,12.0,22.0,23.0,24.0,47.0,53.0,0,,10494657
2708,04/04/2024,10.0,11.0,12.0,19.0,23.0,28.0,0,,7580748
2707,02/04/2024,7.0,9.0,11.0,39.0,54.0,57.0,0,,7023984
2706,30/03/2024,10.0,11.0,17.0,24.0,30.0,45.0,0,,9018496
2705,26/03/2024,2.0,16.0,22.0,27.0,35.0,47.0,1,118265926.76,20705943
2704,23/03/2024,3.0,7.0,10.0,25.0,31.0,52.0,0,,18285616
2703,21/03/2024,3.0,7.0,11.0,35.0,38.0,56.0,0,,14835390
2702,19/03/2024,6.0,13.0,20.0,34.0,40.0,46.0,0,,13366240
2701,16/03/2024,6.0,15.0,18.0,31.0,32.0,47.0,0,,14822969
2700,14/03/2024,1.0,11.0,19.0,20.0,28.0,48.0,0,,11696098
2699,12/03/2024,9.0,23.0,31.0,49.0,54.0,58.0,0,,7653444
2698,09/03/2024,2.0,18.0,19.0,35.0,45.0,60.0,0,,8541500
2697,07/03/2024,10.0,11.0,13.0,25.0,27.0,42.0,0,,6361389
2696,05/03/2024,4.0,13.0,18.0,39.0,55.0,59.0,1,206475189.75,39217597
2695,02/03/2024,15.0,17.0,32.0,33.0,34.0,40.0,0,,34554067
2694,29/02/2024,7.0,20.0,22.0,29.0,41.0,58.0,0,,24085730
2693,27/02/2024,11.0,29.0,44.0,45.0,46.0,50.0,0,,22618361
2692,24/02/2024,9.0,33.0,45.0,55.0,56.0,59.0,0,,23351812
2691,22/02/2024,13.0,15.0,28.0,37.0,40.0,57.0,0,,17462802
2690,20/02/2024,9.0,28.0,33.0,43.0,45.0,55.0,0,,14681093
2689,17/02/2024,9.0,16.0,20.0,47.0,48.0,52.0,0,,14729300
2688,15/02/2024,12.0,17.0,33.0,41.0,46.0,54.0,0,,12971992
2687,10/02/2024,2.0,4.0,24.0,30.0,34.0,50.0,0,,12885803
2686,08/02/2024,6.0,12.0,20.0,41.0,43.0,59.0,0,,10107106
2685,06/02/2024,9.0,16.0,31.0,46.0,47.0,51.0,0,,8950984
2684,03/02/2024,17.0,26.0,45.0,46.0,48.0,53.0,1,94839718.02,21561834
2683,01/02/2024,1.0,3.0,23.0,27.0,47.0,57.0,0,,17254311
2682,30/01/2024,4.0,17.0,29.0,30.0,52.0,58.0,0,,15370637
2681,27/01/2024,10.0,20.0,30.0,42.0,47.0,53.0,0,,15628208
2680,25/01/2024,3.0,11.0,42.0,45.0,46.0,57.0,0,,12064213
2679,23/01/2024,7.0,18.0,20.0,26.0,38.0,51.0,0,,9801184
2678,20/01/2024,10.0,13.0,16.0,18.0,37.0,54.0,0,,10982474
2677,18/01/2024,3.0,7.0,32.0,34.0,42.0,54.0,0,,8546843
2676,16/01/2024,4.0,6.0,14.0,19.0,22.0,29.0,0,,7412502
2675,13/01/2024,1.0,26.0,31.0,34.0,42.0,45.0,0,,8250890
2674,11/01/2024,8.0,14.0,15.0,21.0,23.0,46.0,0,,5206263
2673,09/01/2024,4.0,27.0,35.0,45.0,52.0,56.0,0,,4475821
2672,06/01/2024,10.0,13.0,20.0,40.0,43.0,56.0,1,6480136.97,6747887
2671,04/01/2024,16.0,19.0,43.0,53.0,57.0,58.0,0,,5454899
2670,31/12/2023,21.0,24.0,33.0,41.0,48.0,56.0,5,117778204.25,485250550
2669,16/12/2023,4.0,7.0,16.0,35.0,46.0,54.0,0,,8163974
2668,14/12/2023,1.0,27.0,30.0,41.0,46.0,57.0,0,,6123188
2667,12/12/2023,1.0,4.0,8.0,21.0,46.0,51.0,0,,5403236
2666,09/12/2023,5.0,25.0,29.0,30.0,43.0,47.0,1,30781665.32,10479456
2665,07/12/2023,3.0,14.0,21.0,22.0,37.0,39.0,0,,8471087
2664,05/12/2023,12.0,15.0,17.0,30.0,40.0,52.0,0,,6147505
2663,02/12/2023,7.0,11.0,27.0,41.0,56.0,59.0,0,,6879130
2662,30/11/2023,17.0,20.0,31.0,34.0,40.0,42.0,1,35852142.15,9606114
2661,28/11/2023,6.0,30.0,35.0,38.0,41.0,56.0,0,,8926792
2660,25/11/2023,6.0,12.0,13.0,20.0,38.0,60.0,0,,9784951
2659,23/11/2023,11.0,36.0,46.0,53.0,55.0,60.0,0,,5109701
2658,21/11/2023,5.0,13.0,39.0,51.0,58.0,60.0,1,50248574.29,11103306
2657,18/11/2023,7.0,27.0,32.0,33.0,36.0,53.0,0,,16490725
2656,14/11/2023,20.0,24.0,27.0,46.0,57.0,58.0,0,,10175841
2655,11/11/2023,10.0,23.0,30.0,31.0,49.0,56.0,0,,11347888
2654,09/11/2023,11.0,17.0,23.0,36.0,47.0,51.0,1,11906870.24,7980430
2653,07/11/2023,14.0,32.0,41.0,43.0,48.0,60.0,0,,6847210
2652,04/11/2023,13.0,23.0,26.0,29.0,45.0,59.0,0,,7594261
2651,01/11/2023,6.0,23.0,35.0,36.0,37.0,59.0,1,104876676.04,29071846
2650,28/10/2023,9.0,18.0,29.0,37.0,39.0,58.0,0,,20901591
2649,26/10/2023,6.0,11.0,26.0,32.0,46.0,56.0,0,,13914439
2648,24/10/2023,20.0,44.0,45.0,46.0,56.0,59.0,0,,11936458
2647,21/10/2023,9.0,33.0,39.0,43.0,50.0,54.0,0,,13406032
2646,19/10/2023,18.0,28.0,30.0,39.0,41.0,58.0,0,,10454465
2645,17/10/2023,8.0,22.0,34.0,42.0,51.0,59.0,0,,9250868
2644,14/10/2023,4.0,17.0,22.0,28.0,30.0,49.0,0,,11616487
2643,10/10/2023,2.0,10.0,29.0,31.0,56.0,59.0,0,,5990788
2642,07/10/2023,8.0,13.0,31.0,33.0,49.0,50.0,0,,7005969
2641,05/10/2023,9.0,24.0,34.0,39.0,45.0,50.0,1,32744242.8,9842919
2640,03/10/2023,4.0,8.0,10.0,27.0,28.0,32.0,0,,8312216
2639,30/09/2023,2.0,8.0,11.0,22.0,48.0,49.0,0,,8387769
2638,28/09/2023,9.0,30.0,34.0,44.0,54.0,55.0,0,,5496465
2637,26/09/2023,1.0,2.0,10.0,32.0,34.0,59.0,0,,4409377
2636,23/09/2023,5.0,16.0,38.0,42.0,43.0,48.0,1,40435445.43,12657268
2635,21/09/2023,6.0,11.0,29.0,37.0,56.0,58.0,0,,9159344
2634,19/09/2023,8.0,27.0,28.0,32.0,48.0,56.0,0,,6766696
2633,16/09/2023,2.0,23.0,25.0,33.0,45.0,54.0,0,,7984648
2632,14/09/2023,5.0,10.0,27.0,38.0,56.0,57.0,0,,5628241
2631,12/09/2023,14.0,26.0,36.0,39.0,50.0,53.0,0,,4720244
2630,09/09/2023,14.0,18.0,22.0,26.0,31.0,38.0,1,84729015.05,21398938
2629,05/09/2023,11.0,32.0,35.0,40.0,41.0,48.0,0,,11377268
2628,02/09/2023,5.0,14.0,32.0,40.0,53.0,54.0,0,,14061768
2627,31/08/2023,13.0,25.0,31.0,43.0,57.0,58.0,0,,10776932
2626,29/08/2023,1.0,9.0,13.0,16.0,52.0,59.0,0,,8630247
2625,26/08/2023,9.0,10.0,35.0,44.0,55.0,58.0,0,,10894659
